index,year,lsoa21,total_residents,total_Active,unemployed,total_households,Overcrowded,Owned,no_car,updated
Townsend,2021,E01009346,1207,597,61,527,146,229,216,NA
Townsend,2021,E01009347,1135,560,78,565,101,159,254,NA
Townsend,2021,E01009348,1579,867,111,817,98,281,360,NA
Townsend,2021,E01009349,1182,598,107,560,107,197,269,NA
Townsend,2021,E01009350,1181,519,91,477,96,223,225,NA
Townsend,2021,E01009351,1253,620,80,548,89,216,274,NA
Townsend,2021,E01009352,1449,672,141,490,105,222,201,NA
Townsend,2021,E01009353,1261,610,109,471,97,249,202,NA
Townsend,2021,E01009354,1208,562,80,510,83,171,255,NA
Townsend,2021,E01009355,1127,533,69,473,74,156,210,NA
Townsend,2021,E01009358,1761,798,123,742,114,242,379,NA
Townsend,2021,E01009359,1515,728,131,693,129,210,346,NA
Townsend,2021,E01009360,2012,1009,129,956,159,286,407,NA
Townsend,2021,E01009361,1554,667,105,774,130,211,404,NA
Townsend,2021,E01009362,997,425,66,493,104,85,256,NA
Townsend,2021,E01009363,1326,558,82,575,116,216,245,NA
Townsend,2021,E01009364,1132,491,92,555,123,97,287,NA
Townsend,2021,E01009365,1383,548,103,588,112,170,287,NA
Townsend,2021,E01009366,1254,550,86,537,128,239,239,NA
Townsend,2021,E01009367,1340,519,82,556,124,247,240,NA
Townsend,2021,E01009368,1133,425,75,417,102,134,181,NA
Townsend,2021,E01009371,1378,592,97,527,147,237,214,NA
Townsend,2021,E01009372,1239,522,57,413,116,243,137,NA
Townsend,2021,E01009373,1295,551,69,459,155,274,144,NA
Townsend,2021,E01009374,910,333,38,437,81,170,201,NA
Townsend,2021,E01009375,1424,645,71,547,133,250,220,NA
