lsoa21,ED91CD,prop_ED
E01008938,07CNFD16,0.8888888888888888
E01008938,07CNFD17,1
E01008938,07CNFD20,0.625
E01008938,07CNFD19,0.2
E01008938,07CNFD21,0.2
E01008939,07CNFD19,0.8
E01008939,07CNFD20,0.25
E01008939,07CNFD21,0.6
E01008939,07CNFD23,0.13333333333333333
E01008939,07CNFD22,0.375
E01008939,07CNFD24,0.18181818181818182
E01008939,07CNFD36,0.25
E01008940,07CNFD24,0.18181818181818182
E01008940,07CNFD27,0.8888888888888888
E01008940,07CNFD26,0.8888888888888888
E01008940,07CNFD28,0.8
E01008940,07CNFD30,0.06666666666666667
E01008941,07CNFD22,0.5
E01008941,07CNFD25,1
E01008941,07CNFD24,0.6363636363636364
E01008941,07CNFD26,0.1111111111111111
E01008941,07CNFD27,0.1111111111111111
E01008942,07CNFD34,1
E01008942,07CNFD35,0.2
E01008942,07CNFD33,0.25
E01008942,07CNFD38,0.6666666666666666
E01008942,07CNFD37,0.5
E01008942,07CNFD45,0.1
E01008943,07CNFD23,0.6666666666666666
E01008943,07CNFD33,0.75
E01008943,07CNFD32,1
E01008943,07CNFD37,0.2
E01008944,07CNFD29,1
E01008944,07CNFD28,0.2
E01008944,07CNFD31,1
E01008944,07CNFD30,0.9333333333333333
E01008945,07CNFD23,0.2
E01008945,07CNFD35,0.4
E01008945,07CNFD36,0.5833333333333334
E01008945,07CNFD41,0.4
E01008945,07CNFD40,0.5714285714285714
E01008945,07CNFD39,1
E01008946,07CNFD41,0.6
E01008946,07CNFD46,1
E01008946,07CNFD40,0.42857142857142855
E01008946,07CNFD38,0.3333333333333333
E01008946,07CNFD35,0.4
E01008946,07CNFD49,0.1
E01008946,07CNFD50,0.4
E01008947,07CNFD45,0.9
E01008947,07CNFD37,0.3
E01008947,07CNFD43,0.7142857142857143
E01008947,07CNFD42,0.4
E01008947,07CNFD44,0.1
E01008948,07CNFD48,0.2222222222222222
E01008948,07CNFD42,0.6
E01008948,07CNFD43,0.2857142857142857
E01008948,07CNFD44,0.9
E01008948,07CNFD47,1
E01008949,07CNFD50,0.6
E01008949,07CNFD49,0.9
E01008949,07CNFD48,0.7777777777777778
E01008950,07CNFE06,0.6363636363636364
E01008950,07CNFE07,0.5
E01008950,07CNFE01,0.8333333333333334
