lsoa21,oa01,prop_oa01
E01008966,E00045525,1
E01008967,E00045523,1
E01008967,E00045548,1
E01008967,E00045536,1
E01008967,E00045535,1
E01008967,E00045506,1
E01008968,E00045526,1
E01008968,E00045537,1
E01008968,E00045531,1
E01008968,E00045498,1
E01008968,E00045530,1
E01008969,E00045541,1
E01008969,E00045556,1
E01008969,E00045547,1
E01008969,E00045546,1
E01008969,E00045552,1
E01008969,E00045550,1
E01008970,E00045532,1
E01008970,E00045543,1
E01008970,E00045544,1
E01008970,E00045551,1
E01008970,E00045533,1
E01008971,E00045542,1
E01008971,E00045540,1
E01008971,E00045549,1
E01008971,E00045555,1
E01008971,E00045559,1
E01008972,E00045562,1
E01008972,E00045539,1
E01008972,E00045554,1
E01008972,E00045553,1
E01008972,E00045545,1
E01008973,E00045565,1
E01008973,E00045563,1
E01008973,E00045558,1
E01008973,E00045564,1
E01008973,E00045499,1
E01008973,E00045560,1
E01008974,E00045567,1
E01008974,E00045561,1
E01008974,E00045566,1
E01008974,E00045568,1
E01008974,E00045557,1
E01008975,E00045574,1
E01008975,E00045575,1
E01008975,E00045578,1
E01008975,E00045570,1
E01008975,E00045573,1
E01008976,E00045569,1
E01008976,E00045577,1
E01008976,E00045571,1
E01008976,E00045581,1
E01008976,E00045579,1
E01008976,E00045502,1
E01008977,E00045572,1
E01008977,E00045580,1
E01008977,E00045576,1
E01008977,E00045501,1
E01008977,E00045500,1
E01008978,E00045509,1
E01008978,E00045510,1
E01008978,E00045515,1
E01008978,E00045517,1
E01008978,E00045514,1
E01008978,E00045513,1
E01008979,E00045519,1
E01008979,E00045516,1
E01008979,E00045508,1
E01008979,E00045511,1
E01008979,E00045503,1
E01008979,E00045582,1
E01008980,E00045507,1
E01008980,E00045518,1
E01008980,E00045505,1
E01008980,E00045512,1
E01008980,E00045504,1
E01008981,E00045522,1
E01008981,E00045524,1
E01008981,E00045529,1
E01008981,E00045521,1
E01008981,E00045520,1
E01008982,E00045651,1
E01008982,E00045655,1
E01008982,E00045656,1
E01008982,E00045590,1
E01008984,E00045643,1
E01008984,E00045644,1
E01008984,E00045647,1
E01008984,E00045649,1
E01008984,E00045652,1
E01008984,E00045654,1
E01008986,E00045592,1
E01008986,E00045658,1
E01008986,E00045659,1
E01008986,E00045599,1
E01008986,E00045603,1
E01008987,E00045583,1
E01008987,E00045593,1
E01008987,E00045594,1
E01008987,E00045661,1
E01008987,E00045660,1
E01008988,E00045610,1
E01008988,E00045602,1
E01008988,E00045596,1
E01008988,E00045595,1
E01008988,E00045600,1
E01008988,E00045597,1
E01008989,E00045608,1
E01008989,E00045604,1
E01008989,E00045606,1
E01008989,E00045601,1
E01008989,E00045605,1
E01008989,E00045598,1
E01008990,E00045609,1
E01008990,E00045612,1
E01008990,E00045628,1
E01008990,E00045621,1
E01008991,E00045613,1
E01008991,E00045584,1
E01008991,E00045616,1
E01008991,E00045615,1
E01008991,E00045627,1
E01008992,E00045642,1
E01008992,E00045622,1
E01008992,E00045645,1
E01008992,E00045629,1
E01008994,E00045607,1
E01008994,E00045614,1
E01008994,E00045620,1
E01008994,E00045586,1
E01008994,E00045632,1
E01008994,E00045611,1
E01008995,E00045623,1
E01008995,E00045618,1
E01008995,E00045626,1
E01008995,E00045625,1
E01008995,E00045633,1
E01008995,E00045638,1
E01008996,E00045630,1
E01008996,E00045639,1
E01008996,E00045640,1
E01008996,E00045635,1
E01008996,E00045588,1
E01008997,E00045641,1
E01008997,E00045637,1
E01008997,E00045589,1
E01008997,E00045636,1
E01008997,E00045631,1
E01008998,E00045712,1
E01008998,E00045662,1
E01008998,E00045671,1
E01008998,E00045713,1
E01008998,E00045708,1
E01008999,E00045705,1
E01008999,E00045711,1
E01008999,E00045670,1
E01008999,E00045710,1
E01009000,E00045669,1
E01009000,E00045704,1
E01009000,E00045709,1
E01009000,E00045668,1
E01009000,E00045707,1
E01009001,E00045714,1
E01009001,E00045717,1
E01009001,E00045663,1
E01009001,E00045715,1
E01009001,E00045721,1
E01009002,E00045718,1
E01009002,E00045719,1
E01009002,E00045727,1
E01009002,E00045730,1
E01009002,E00045716,1
E01009003,E00045720,1
E01009003,E00045740,1
E01009003,E00045736,1
E01009003,E00045743,1
E01009003,E00045724,1
E01009005,E00045664,1
E01009005,E00045744,1
E01009005,E00045742,1
E01009005,E00045729,1
E01009005,E00045665,1
E01009006,E00045737,1
E01009006,E00045728,1
E01009006,E00045722,1
E01009006,E00045741,1
E01009006,E00045739,1
E01009006,E00045732,1
E01009007,E00045682,1
E01009007,E00045745,1
E01009007,E00045731,1
E01009007,E00045681,1
E01009007,E00045687,1
E01009007,E00045673,1
E01009008,E00045674,1
E01009008,E00045679,1
E01009008,E00045685,1
E01009008,E00045689,1
E01009008,E00045683,1
E01009009,E00045675,1
E01009009,E00045676,1
E01009009,E00045684,1
E01009009,E00045672,1
E01009009,E00045680,1
E01009011,E00045690,1
E01009011,E00045702,1
E01009011,E00045697,1
E01009011,E00045666,1
E01009011,E00045692,1
E01009011,E00045701,1
E01009012,E00045694,1
E01009012,E00045703,1
E01009012,E00045695,1
E01009012,E00045693,1
E01009012,E00045691,1
E01009013,E00045667,1
E01009013,E00045696,1
E01009013,E00045700,1
E01009013,E00045706,1
E01009013,E00045699,1
E01009013,E00045698,1
E01009014,E00045816,1
E01009014,E00045817,1
E01009014,E00045759,1
E01009014,E00045748,1
E01009014,E00045747,1
E01009015,E00045750,1
E01009015,E00045819,1
E01009015,E00045815,1
E01009015,E00045751,1
E01009015,E00045813,1
E01009016,E00045749,1
E01009016,E00045769,1
E01009016,E00045757,1
E01009016,E00045752,1
E01009016,E00045756,1
E01009017,E00045811,1
E01009017,E00045820,1
E01009017,E00045810,1
E01009017,E00045755,1
E01009018,E00045814,1
E01009018,E00045806,1
E01009018,E00045821,1
E01009018,E00045754,1
E01009018,E00045807,1
E01009019,E00045775,1
E01009019,E00045771,1
E01009019,E00045770,1
E01009019,E00045774,1
E01009019,E00045781,1
E01009020,E00045758,1
E01009020,E00045765,1
E01009020,E00045761,1
E01009020,E00045762,1
E01009021,E00045766,1
E01009021,E00045768,1
E01009021,E00045763,1
E01009021,E00045753,1
E01009021,E00045764,1
E01009022,E00045778,1
E01009022,E00045773,1
E01009022,E00045760,1
E01009022,E00045767,1
E01009022,E00045772,1
E01009023,E00045776,1
E01009023,E00045782,1
E01009023,E00045777,1
E01009023,E00045790,1
E01009023,E00045785,1
E01009024,E00045788,1
E01009024,E00045783,1
E01009024,E00045746,1
E01009024,E00045784,1
E01009024,E00045789,1
E01009025,E00045791,1
E01009025,E00045786,1
E01009025,E00045779,1
E01009025,E00045787,1
E01009025,E00045780,1
E01009026,E00045793,1
E01009026,E00045795,1
E01009026,E00045799,1
E01009026,E00045796,1
E01009026,E00045801,1
E01009028,E00045794,1
E01009028,E00045804,1
E01009028,E00045805,1
E01009028,E00045802,1
E01009028,E00045800,1
E01009029,E00045809,1
E01009029,E00045812,1
E01009029,E00045797,1
E01009029,E00045798,1
E01009030,E00045862,1
E01009030,E00045860,1
E01009030,E00045858,1
E01009030,E00045852,1
E01009031,E00045868,1
E01009031,E00045864,1
E01009031,E00045866,1
E01009031,E00045872,1
E01009031,E00045869,1
E01009032,E00045863,1
E01009032,E00045865,1
E01009032,E00045867,1
E01009032,E00045871,1
E01009032,E00045870,1
E01009033,E00045879,1
E01009033,E00045875,1
E01009033,E00045886,1
E01009033,E00045880,1
E01009033,E00045876,1
E01009034,E00045873,1
E01009034,E00045881,1
E01009034,E00045889,1
E01009034,E00045896,1
E01009035,E00045877,1
E01009035,E00045882,1
E01009035,E00045874,1
E01009035,E00045884,1
E01009035,E00045883,1
E01009036,E00045893,1
E01009036,E00045892,1
E01009036,E00045900,1
E01009036,E00045898,1
E01009037,E00045894,1
E01009037,E00045885,1
E01009037,E00045891,1
E01009037,E00045878,1
E01009037,E00045823,1
E01009039,E00045827,1
E01009039,E00045826,1
E01009039,E00045830,1
E01009039,E00045895,1
E01009039,E00045836,1
E01009040,E00045890,1
E01009040,E00045899,1
E01009040,E00045828,1
E01009040,E00045832,1
E01009040,E00045834,1
E01009041,E00045831,1
E01009041,E00045835,1
E01009041,E00045829,1
E01009041,E00045825,1
E01009041,E00045833,1
E01009042,E00045840,1
E01009042,E00045839,1
E01009042,E00045837,1
E01009042,E00045838,1
E01009043,E00045822,1
E01009043,E00045848,1
E01009043,E00045844,1
E01009043,E00045841,1
E01009043,E00045849,1
E01009044,E00045842,1
E01009044,E00045845,1
E01009044,E00045847,1
