index,year,lsoa21,total_residents,residents_10,InActive_sick,Foreman,Skilled,Semi_skilled,Unskilled,Total_employed,Manufacturing,Well_Edu,Disabled,total_persons,poor_health,updated
Manufacturing,2021,E01009100,1597,0,107,0,102,72,95,887,83,1002,445,1931,182,NA
Manufacturing,2021,E01009101,1193,0,101,0,47,68,110,598,86,655,404,1517,160,NA
Manufacturing,2021,E01009102,1203,0,95,0,63,90,121,623,86,643,313,1613,124,NA
Manufacturing,2021,E01009103,1225,0,132,0,45,65,98,516,68,650,434,1581,174,NA
Manufacturing,2021,E01009104,1235,0,93,0,67,72,106,648,55,730,332,1713,111,NA
Manufacturing,2021,E01009105,1394,0,65,0,98,60,94,830,95,939,301,1799,105,NA
Manufacturing,2021,E01009106,1109,0,62,0,75,80,98,601,97,651,303,1356,116,NA
Manufacturing,2021,E01009107,1199,0,92,0,47,60,74,566,51,712,354,1673,124,NA
Manufacturing,2021,E01009108,851,0,18,0,36,31,30,460,32,633,178,1022,43,NA
Manufacturing,2021,E01009109,961,0,60,0,38,37,75,511,33,609,286,1406,84,NA
Manufacturing,2021,E01009110,1083,0,77,0,68,34,90,550,50,657,340,1362,107,NA
Manufacturing,2021,E01009111,1202,0,41,0,97,53,68,698,52,852,262,1543,74,NA
Manufacturing,2021,E01009112,1320,0,60,0,80,39,80,679,63,806,379,1616,125,NA
Manufacturing,2021,E01009113,1176,0,124,0,50,41,76,487,29,709,459,1708,180,NA
Manufacturing,2021,E01009114,1147,0,108,0,59,54,83,547,52,661,339,1411,164,NA
Manufacturing,2021,E01009115,1101,0,118,0,57,50,63,484,45,650,386,1425,150,NA
Manufacturing,2021,E01009116,1142,0,26,0,43,13,36,599,42,924,248,1371,55,NA
Manufacturing,2021,E01009117,1444,0,146,0,56,68,114,675,46,880,492,2075,156,NA
Manufacturing,2021,E01009118,1266,0,97,0,64,44,77,646,49,812,348,1558,116,NA
Manufacturing,2021,E01009119,1170,0,37,0,45,30,65,662,51,809,294,1431,80,NA
Manufacturing,2021,E01009120,1377,0,105,0,69,55,58,797,70,947,348,1763,137,NA
Manufacturing,2021,E01009122,1251,0,136,0,67,86,126,618,59,707,386,1633,175,NA
Manufacturing,2021,E01009123,1212,0,63,0,66,81,112,669,77,767,308,1624,99,NA
Manufacturing,2021,E01009124,1336,0,128,0,39,62,149,593,44,794,341,2092,133,NA
Manufacturing,2021,E01009125,1564,0,126,0,70,86,156,744,59,830,409,2037,153,NA
Manufacturing,2021,E01009126,1153,0,41,0,71,84,101,697,81,783,196,1488,58,NA
